Counts,Freq,Cluster,Image
False Negative,192450,1,KPMP_uS-X001Y008_Annotations
False Positive,429004,1,KPMP_uS-X001Y008_Annotations
True Negative,804150,1,KPMP_uS-X001Y008_Annotations
True Positive,647996,1,KPMP_uS-X001Y008_Annotations
False Negative,327718,2,KPMP_uS-X001Y008_Annotations
False Positive,125612,2,KPMP_uS-X001Y008_Annotations
True Negative,1026728,2,KPMP_uS-X001Y008_Annotations
True Positive,593542,2,KPMP_uS-X001Y008_Annotations
False Negative,120550,3,KPMP_uS-X001Y008_Annotations
False Positive,177157,3,KPMP_uS-X001Y008_Annotations
True Negative,1770387,3,KPMP_uS-X001Y008_Annotations
True Positive,5506,3,KPMP_uS-X001Y008_Annotations
False Negative,94989,4,KPMP_uS-X001Y008_Annotations
False Positive,3934,4,KPMP_uS-X001Y008_Annotations
True Negative,1883828,4,KPMP_uS-X001Y008_Annotations
True Positive,90849,4,KPMP_uS-X001Y008_Annotations
False Negative,823862,1,KPMP_uS-X001Y009_Annotations
False Positive,185953,1,KPMP_uS-X001Y009_Annotations
True Negative,1055926,1,KPMP_uS-X001Y009_Annotations
True Positive,7859,1,KPMP_uS-X001Y009_Annotations
False Negative,433752,2,KPMP_uS-X001Y009_Annotations
False Positive,46339,2,KPMP_uS-X001Y009_Annotations
True Negative,1239062,2,KPMP_uS-X001Y009_Annotations
True Positive,354447,2,KPMP_uS-X001Y009_Annotations
False Negative,44839,3,KPMP_uS-X001Y009_Annotations
False Positive,716494,3,KPMP_uS-X001Y009_Annotations
True Negative,1269099,3,KPMP_uS-X001Y009_Annotations
True Positive,43168,3,KPMP_uS-X001Y009_Annotations
False Negative,53702,4,KPMP_uS-X001Y009_Annotations
False Positive,480076,4,KPMP_uS-X001Y009_Annotations
True Negative,1458528,4,KPMP_uS-X001Y009_Annotations
True Positive,81294,4,KPMP_uS-X001Y009_Annotations
False Negative,288,5,KPMP_uS-X001Y009_Annotations
False Positive,37091,5,KPMP_uS-X001Y009_Annotations
True Negative,2019748,5,KPMP_uS-X001Y009_Annotations
True Positive,16473,5,KPMP_uS-X001Y009_Annotations
False Negative,199373,6,KPMP_uS-X001Y009_Annotations
False Positive,89863,6,KPMP_uS-X001Y009_Annotations
